A	2.1190063629	2.9887073177	0.1957361657	1.9699841141	2.7836211823	1.0986455368	1.336722095	2.0359698872	1.7511906782	2.2799202999	1.1351480939	0.016961307	2.9039884435	3.6200285165	2.8846404915	1.8278466292	2.7442789755	0.6930496229	2.1358477595	2.8139490584	1.4140188432	2.6783400761	2.0855410244	2.8190055753	2.9791018437	1.6284841601	0.9612017194	1.3841687351	2.7337539766	0.7396851247	2.3589997611	2.5122749257	0.1661480295	0.5569757508	2.463455735	2.5725584095	2.3602052615	0.0	1.1795527133	0.7421577817	2.7390210194	2.0909117725	2.5561375031	0.5895660642	0.6999492711	0.0	2.464398473	1.1293146066	2.961781323	1.6781281797	1.8636146223	0.0224255858	2.1043714004	0.6224721895	1.0660781469	1.7709944639	1.9846031718	2.0034354909	0.0180548565	2.5911849478	2.1034161776	0.7599343904	1.0918048642	2.1679945855	1.9912020105	2.7560087612	1.8320885685	3.1015363048	1.446533425	2.922721409	1.7550858753	1.5330782603	1.6250531351	1.7979697447	1.6390068214	0.6976437052	0.526225107	1.870809289	2.997238637	3.0384130491	2.5910273509	2.8175260604	1.7081168748	2.5175557406	2.3820875213	1.083510871	1.9907593007	1.1337991929	1.4040739687	2.4671732158	1.6370045112	2.1656018823	0.1482802121	1.320817587	2.5145595999	2.3772003168	2.4158590859	2.7632680013	1.8232786932	2.1197988981
B	2.7466413152	3.0752250479	0.2743933009	2.8347328116	3.2999150228	1.9824333728	2.2677340583	2.8063126351	2.1359871527	2.517725241	2.0525072044	1.0827891597	2.7898307618	2.6913228497	3.5516177831	2.0777043301	2.7268394026	0.4364891913	3.1742323285	2.9335621109	1.4696070403	3.4984576906	2.7588159779	3.573467029	2.9554301828	2.4094396226	1.7958601868	0.7140567761	3.2793591201	1.3951278457	2.8472500013	2.6624624162	0.3235252606	0.786185578	2.9122620486	2.4965857747	2.2990360849	1.5907804472	1.4505188474	0.8914412992	3.0882865246	2.4402933577	3.8112522358	1.2538785593	2.4162734599	0.3868332554	3.0158625839	1.5904426377	3.6691357455	2.5610461132	1.9732952922	0.0059662607	2.4053703989	1.5571381844	2.8098653601	2.6300902988	3.1760965419	2.6336165254	0.3583320252	3.09962693	3.1516123255	0.7845350807	1.2111261017	2.7259156366	2.7253670664	3.6061374749	2.4615956347	2.8764412782	1.9740637351	3.3895912258	2.3034113158	2.0260622184	2.8109420689	2.6984010782	1.250123141	1.886804114	0.6452038731	2.5331436401	3.6757824352	2.5479842405	2.6542633891	2.2176385013	2.7540114799	2.6100748548	2.9133822004	1.650904371	1.7978797497	1.175681685	1.7311585358	2.2648649855	1.0569334994	2.8520180138	1.3927783415	1.7773249637	3.0597406578	2.8045715941	2.6850138904	3.0217947959	2.884439265	2.8787855907
C	1.4658317117	1.8054353574	0.2496224163	2.0625432221	2.7765406679	0.9360123832	0.9620089169	1.6701569059	1.5304036324	2.0078383786	1.2332246875	0.0364345878	2.5234610037	0.0	2.407873708	1.0788615155	1.6034090675	0.33582347	2.2880779568	1.4254456446	0.0	2.1920508726	2.1738449124	2.3185836952	2.0577144913	1.7663217624	0.8425481424	0.0	2.4011104006	1.1668877758	1.9909833639	1.6559098616	0.0824371641	0.3338883533	2.1777662788	2.2083507052	1.1758934751	0.0	0.7560137726	0.3054817387	2.6221193978	1.7168051398	2.5362983985	0.7582372172	1.2769204424	0.0392018698	1.335371419	0.8481491315	2.4635357232	2.0927461825	1.3056261262	0.0188067559	1.4889023293	0.5489905204	1.7650371328	1.4318037613	1.8665845999	1.1574832838	0.0	1.3019150784	1.1671524513	0.6494852118	0.8939348602	1.4160947216	1.8390542721	2.4459611963	0.3244833602	1.1363075072	1.4945839999	2.3607280035	1.3308614088	1.5513260751	2.1375019279	1.3151913775	0.9843389097	0.1350955556	0.3919353334	1.5831252531	2.5150213907	1.6277632895	1.8111961706	1.1203133653	1.1999709243	1.8103007999	1.9757203005	0.8017188449	1.1478721176	0.9005103181	0.5130561026	0.8410337466	1.1147562588	2.2114109434	0.0365370449	1.1603140635	2.3446611949	1.7981928657	1.807841934	2.0520615372	1.9709775397	1.1400625088
D	3.5613468306	3.2327442101	0.7624853884	3.7255483477	4.2656148927	2.0727826517	2.772075676	3.1259176655	2.3285536603	3.1823696864	2.4802615082	0.3128774043	3.383990233	3.2716006271	4.5217724319	2.8272309085	3.6862302203	0.8300887246	3.8065890839	3.4225340319	0.0	4.4606135686	3.5616862155	4.7156390653	3.8559327988	3.2359417815	1.9789504014	0.4747530259	4.1506991854	1.4577071252	3.6189705887	3.2647134944	1.3578168514	0.9028913149	4.0258056298	3.4821844358	3.8437300919	0.1381529853	2.5135033787	1.2471046774	4.1555210091	2.9398837259	4.4036165117	1.9498415463	3.6410591334	0.0821872287	3.9580999219	2.6832476916	4.0251927918	3.6801733594	3.2654929652	0.0471530217	3.4240290247	1.5205826227	3.9632674665	3.6651426892	3.4297778819	3.4379671615	0.0613628405	3.6038550898	3.5321515591	2.0647944786	2.33914234	3.5093836005	3.2466413118	4.4828859204	3.2923490802	4.3544104351	3.0164987852	4.0860538077	3.5136832052	3.1421973279	3.5934419711	2.2462997779	1.8941827077	0.2088401957	0.9176218081	3.7389741496	4.2657069109	3.3306371293	3.6397365509	3.0616093612	3.2641578252	3.4740722929	3.5401679918	2.7849786196	2.2642570026	2.4647000009	2.8620425139	2.691273095	2.5192268865	3.754496288	0.3312221999	2.9312230937	3.8120856471	3.6385775685	3.0360603523	3.6911242629	3.792411963	3.4563464991
E	2.7157647484	3.2974343335	0.7126338837	3.3623918676	3.8581189359	3.3689945299	2.9825473166	3.0142245906	2.3814001294	3.1145238284	3.0321359666	0.1986958013	3.5562371483	4.1518906884	3.8007350173	2.8937775608	2.3636452374	0.6634229817	3.3935142815	1.5307400954	2.3486117409	3.6968052796	3.3679241727	3.8742926355	3.3151180286	3.8429734692	1.6390262223	0.5700664702	3.8640154582	1.975655999	2.6507941569	2.7861782605	0.9284586472	0.3642396379	3.2238845378	3.3026941375	1.750405455	0.2902094712	1.8010771165	0.8376508281	3.7135423919	2.8810762629	3.5640413696	1.4808374379	3.1037925066	1.0337556232	2.7195287231	2.9024492425	3.1641125482	2.8808028897	1.8605767561	0.0325829687	3.1880208175	1.5232175196	3.2616763891	2.8813590714	2.5219067546	2.6838817807	0.135657916	2.2595481585	2.6301479607	1.5417887028	2.0001035683	3.3504263441	2.8734842048	3.5738932442	2.4051537975	2.6819798165	2.4908445841	3.7698154423	2.9615991797	2.8304660621	3.3852861527	3.4952660313	0.7416079678	2.200606351	0.7990304417	3.5057969121	3.5411919169	2.7472408559	3.0895133275	2.4230280114	1.8003203031	3.122351245	3.1325225934	3.0234964947	0.8618251063	2.1178843867	1.2939195018	1.3263080684	2.3762634817	3.5652550959	1.2691980291	2.2978467499	3.4079895163	2.7933204076	3.1625401052	3.2923177808	3.3564689398	2.2576008466
F	1.193225548	0.8834853167	0.1531396126	0.851689983	1.0809738467	0.4320587213	0.3215184989	0.6281218744	1.5034350981	1.5695969054	0.6363808954	0.0176065871	1.8137664109	2.3944332937	0.6829082923	0.3840353759	1.5190650125	0.4286585235	1.0037638609	1.6015291423	0.0	1.5409313803	1.6782040404	1.2204307536	0.877757067	0.680594187	0.686674114	0.0	1.0470096254	0.1926147922	1.5494349981	0.7572026683	0.0	0.571937465	1.0337454412	1.6858310157	1.2094283252	0.0059985976	0.7511430447	0.2960505341	0.9052222547	0.7664428405	1.7885132465	0.4193476822	0.4816750602	0.04600576	1.1845127651	0.2836673298	1.5212078564	1.1169033638	1.5465717349	0.005399118	0.9464796179	0.4835502932	0.7027948015	0.8016978235	1.6438602894	1.0715460341	0.0	1.1773649504	1.0233275812	0.4564590902	0.8185173558	1.2090337145	0.6140634812	1.0141659119	1.4197157313	1.8090785577	1.1943888222	1.0948623784	0.9830143922	1.3792652495	1.2105151603	0.4029021467	1.18825292	0.0833510667	0.6703470194	0.7208296796	1.5305656568	0.9370390939	0.8514615818	0.8702922931	1.540535729	0.7606433165	1.5264935256	0.0891966111	1.2659829275	0.7203006097	0.6631304174	0.8242354	0.9947018411	0.5467569627	0.0188183645	1.0838340693	0.7156361824	0.6403891756	0.9797124515	0.7381698172	0.8415260234	0.9287186385
G	3.8398382234	4.4189132225	0.4264649735	3.3713336018	4.6003916158	3.4005214401	2.9700855623	3.5408713649	2.4785358779	3.8617066605	3.0094034643	1.0387715461	4.0196637635	3.8007943801	5.0345361898	3.3976280445	3.1172136913	0.2918341766	3.510869796	2.3948907226	0.4764684228	4.5136972195	3.6139373137	4.9006454518	4.6225558687	3.439087953	1.8567636678	0.0	4.6840837054	3.7922977616	2.7128847563	3.9905933556	2.318810058	0.9053179044	3.8091712021	4.2809999536	3.4378858583	0.8744842829	2.1130521743	1.6915777864	4.8204307655	3.4546685524	4.3702415205	1.5114108909	3.8883195307	2.0279387058	4.1553505284	3.0756591255	4.363473349	3.696741074	3.033796598	0.3813273729	3.4440437925	2.1890673579	4.2652395307	3.4685188006	4.4767648829	3.6444153172	0.7503962972	3.4915520417	3.5840444093	1.5665902564	2.0322454423	3.537956215	3.3648089869	5.2529792711	2.2738275668	2.6684027025	2.7219498736	4.219908432	4.9470037603	2.9458972802	3.5323796059	3.4403605232	1.7009453105	2.5452177325	1.1760560131	3.6931678562	4.3038875427	4.1039548461	4.3257538579	3.8140473802	3.1326325329	4.1316506202	4.0298192266	3.1398239906	2.10717638	2.0241481392	3.8468085467	3.2529142923	2.4131297924	4.5109906937	2.8887953927	2.7076785223	4.5558693038	3.7461586928	3.4520248572	4.746858571	4.8240333108	4.0816342195
H	3.3028130513	3.9400536286	0.3828405508	3.0511458035	4.1136778428	3.3678308	2.1778686106	3.575990336	2.4648573889	3.4835909227	2.5304207359	0.0	3.5361281852	3.8877847627	3.8805224938	2.8149952257	3.5306863493	0.5459209251	2.7244242909	4.7955025162	5.3607780101	3.226520012	2.8564115729	3.9156824215	4.0240721146	2.7349086869	1.7803450238	4.8749599029	3.9064160159	3.8826535571	3.2196083517	3.5942310633	0.0	1.4117864805	3.2672929746	3.4850441084	3.2772489079	0.0	2.4590025922	1.4852213928	4.2646915038	3.4063318486	3.5367350263	1.3810588814	2.7259701517	0.7306067875	3.6475904035	2.8451922797	4.7482055063	3.4053964678	1.8764203844	0.0	3.2846591497	1.620925712	3.2763255724	3.2903177213	2.9727672439	3.4477333922	0.0	4.3617260265	3.6391662904	1.715702844	2.604449495	3.0921541902	3.3422199945	4.8036467297	3.846318047	2.3307759143	2.3839931204	4.1797900807	3.1489156426	2.6437228777	3.4374200653	2.6427538726	1.1934571524	0.0	1.5101609285	2.4189137359	3.7335122092	4.0063949836	3.9652250782	3.4485527912	2.2411508381	3.3596553016	3.3776298496	1.7823563429	1.3049468014	2.5036080524	0.707360473	1.7046690061	1.2879154157	3.5720139127	0.0	1.862754371	3.9096833613	3.2689564366	3.0665318281	3.8721444362	3.2927687001	2.6353668556
I	1.3156645759	2.4723535111	0.3008118258	1.9569124377	1.8244141084	1.604832106	0.9736233667	1.6364373321	2.1208766817	1.7966234619	0.8643573724	0.2317269832	2.1986912463	3.5894139283	2.3524240001	1.7207614547	3.4571537258	0.7555359206	2.0647858474	2.8524223776	1.1524523609	2.4634275462	2.1985657182	2.178859476	2.5277299094	1.5487646558	1.1787055564	0.8458263943	2.1221635334	0.8952294329	3.1200993592	1.9518319649	0.260494552	1.2536263838	2.0183851485	2.1541732275	3.3258182553	0.2439275211	2.0603256389	0.3463891562	2.081877067	1.8106818459	2.63986049	0.9024471596	0.6741425526	1.1474552192	2.0793453898	1.3369620753	3.3260390686	1.7069962663	2.6903776488	0.0478687157	1.658628877	0.7919540504	0.6297608675	1.6045529749	2.5250082237	1.5489455048	0.127822233	2.0911439496	2.2845494945	1.1770797265	2.0870144747	2.2463700775	1.7397780376	2.2585315827	2.1042108753	2.0871573111	2.0214592442	2.4794580712	1.5664193674	1.8807598348	1.9876772594	1.4312208082	1.818032117	1.2319550928	0.7406820215	1.767188446	2.7319707899	2.5682264351	2.2126970918	2.5232069092	2.5133010176	2.1162262952	2.0856796507	1.07458735	1.6631337985	2.0253454099	0.9673285429	1.1793511974	1.0619158797	1.501381807	0.4517952368	1.3971435315	1.8655497942	1.8137376689	1.7632622151	2.2080217792	1.8706740435	2.0247415035
J	0.0	3.2975276261	0.2074594478	0.0	0.0	0.0	0.0	0.0	2.5284847655	0.0	0.0	0.0	0.0	0.0	2.015604449	0.0	2.225897976	1.6837336063	1.8881545333	3.4981838051	0.0	2.9293173479	3.3716896201	0.0	0.0	0.0	1.9727290638	0.0	3.1244443157	1.9791147034	4.0285464203	3.7467386055	0.6934998977	1.2597828227	0.0	3.7252309676	4.2735383959	0.0	0.2578138601	1.283039087	4.0220275176	0.0	2.7785298552	1.1367611777	2.6722162894	1.7684186393	0.0	0.0	0.0	0.0	3.2109819389	0.0	0.0	0.9149034191	0.0	0.0	0.0	0.0	0.5407325484	0.0	2.7273873536	0.9384110292	0.8755999341	0.0	0.0	2.4538412731	0.0	0.0	2.1478156359	2.6479305075	3.1991424675	3.0049661946	0.0	0.0	0.0	1.346244744	1.5792048733	2.010135682	3.2110478527	3.5229387961	3.234505629	3.1676912845	0.0	3.4904088987	3.7765799018	0.0	0.0	0.7948735211	0.0	2.4178759533	2.9865588784	3.0018751732	0.7511306907	2.7415693407	3.5673500059	0.0	0.0	2.6359018432	2.6995402343	1.4855516573
